Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",Gary Ruddell,"=""0553283685""","=""9780553283686""",0,4.23,Bantam Spectra,Mass Market Paperback,482,1990,1989,,2020/10/17,"to-read, sci-fi","to-read (#262), sci-fi (#10)",to-read,,,,0,,,0,,,,,
112537,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,"=""1857231589""","=""9781857231588""",0,4.10,,Paperback,243,2000,1973,,2020/10/17,"to-read, sci-fi","to-read (#261), sci-fi (#9)",to-read,,,,0,,,0,,,,,
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",0,4.05,Tor Books,Hardcover,399,2014,2006,,2020/02/20,"to-read, sci-fi","to-read (#45), sci-fi (#7)",to-read,,,,0,,,0,,,,,
334176,"The Sparrow (The Sparrow, #1)",Mary Doria Russell,"Russell, Mary Doria",,"=""0449912558""","=""9780449912553""",0,4.12,Ballantine Books,Paperback,516,1997,1996,,2019/10/11,"to-read, sci-fi","to-read (#5), sci-fi (#6)",to-read,,,,0,,,0,,,,,
910863,"Spin (Spin, #1)",Robert Charles Wilson,"Wilson, Robert Charles",,"=""076534825X""","=""9780765348258""",0,4.02,Tor Science Fiction,Mass Market Paperback,464,2006,2005,,2020/10/17,"to-read, sci-fi","to-read (#260), sci-fi (#5)",to-read,,,,0,,,0,,,,,
7670,"The Andromeda Strain (Andromeda, #1)",Michael Crichton,"Crichton, Michael",,"=""0060541814""","=""9780060541811""",0,3.90,Avon Books,Paperback,327,2003,1969,,2020/10/17,"to-read, sci-fi","to-read (#259), sci-fi (#4)",to-read,,,,0,,,0,,,,,
24233708,"An Absolutely Remarkable Thing (The Carls, #1)",Hank Green,"Green, Hank",,"=""""","=""""",0,4.02,Dutton,Kindle Edition,343,2018,2018,,2020/10/17,"to-read, sci-fi","to-read (#258), sci-fi (#3)",to-read,,,,0,,,0,,,,,
25499718,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1447273281""","=""9781447273288""",0,4.27,PanMacmillan,Hardcover,600,2015,2015,,2020/10/17,"to-read, sci-fi","to-read (#257), sci-fi (#2)",to-read,,,,0,,,0,,,,,
16130537,The Humans,Matt Haig,"Haig, Matt",,"=""1476727910""","=""9781476727912""",0,4.09,Simon  Schuster,Hardcover,285,2013,2013,,2020/10/17,"to-read, sci-fi","to-read (#256), sci-fi (#1)",to-read,,,,0,,,0,,,,,
15096164,"Pines (Wayward Pines, #1)",Blake Crouch,"Crouch, Blake",,"=""1612183956""","=""9781612183954""",0,3.92,Thomas & Mercer,Paperback,309,2012,2012,,2020/10/17,"to-read, post-apocalyptic","to-read (#255), post-apocalyptic (#8)",to-read,,,,0,,,0,,,,,
